deck,pages,text_chars,chars_per_page,text_pages,page_coverage,class
airbnb,18,0,0.0,0,0.0,image_only
Brex,19,0,0.0,0,0.0,image_only
coinbase,8,0,0.0,0,0.0,image_only
dropbox,22,0,0.0,0,0.0,image_only
Dwolla,18,0,0.0,0,0.0,image_only
facebook,28,0,0.0,0,0.0,image_only
frontapp,21,0,0.0,0,0.0,image_only
linkedin_series_b,37,0,0.0,0,0.0,image_only
mixpanel,12,0,0.0,0,0.0,image_only
Monzo,16,0,0.0,0,0.0,image_only
Revolut,12,0,0.0,0,0.0,image_only
square,20,0,0.0,0,0.0,image_only
Transferwise,11,0,0.0,0,0.0,image_only
uber,13,0,0.0,0,0.0,image_only
Oscar_Health,33,1505,45.6,10,0.303,image_only
Nium_replica,22,7573,344.2,22,1.0,text_layer
sensovision,27,12490,462.6,23,0.852,text_layer
shopify_2025,53,28545,538.6,49,0.925,text_layer
wework_2021,50,63178,1263.6,49,0.98,text_layer
