system,id,deck,category,question,expected,gold_slides,generated,label,faithful,reason,abstained,context_hit,citations,retrieval_rounds,latency_s,error
baseline,sv-01,sensovision,numeric,What is SensoVision's total addressable market for global AI vision?,$8.7 billion,3,,,False,,False,0.0,0,0,3.410817899974063,NotImplementedError: Cannot copy out of meta tensor; no data! Please use torch.nn.Module.to_empty() instead of torch.nn.Module.to() when moving module from meta to a different device.
baseline,sv-02,sensovision,numeric,What is the serviceable available market for India?,$278 million,3,"The Serviceable Available Market (SAM) for India is $278M (sensovision, slide 3).",correct,True,"The system correctly identifies the SAM for India as $278M, matching the reference and supported by the context.",False,1.0,4,1,8.382906999991974,
baseline,sv-03,sensovision,numeric,What is the FY25 serviceable obtainable market target?,"$2M, about 0.72% of the SAM",3,"The FY25 Serviceable Obtainable Market (SOM) target is $2M (~0.72%) (sensovision, slide 3).",correct,True,"The system accurately states the FY25 SOM target as $2M (~0.72%), matching the reference and fully supported by the retrieved context.",False,1.0,3,1,5.8996085000108,
baseline,sv-04,sensovision,numeric,How much in deals has SensoVision closed so far in FY 24-25?,Rs 11.5 Cr to date,10,"SensoVision has closed ₹ 11.5 Cr in deals till date in FY 24-25 (sensovision, slide 10).",correct,True,"The system accurately states that SensoVision has closed ₹ 11.5 Cr in deals to date for FY 24-25, matching both reference and context.",False,1.0,3,1,1.8539101000060327,
baseline,sv-05,sensovision,numeric,How much does SensoVision expect to close by the end of FY 24-25?,Rs 16 Cr,10,"SensoVision expects to close ₹ 16 Cr by the end of FY 24-25 (sensovision, slide 10).",correct,True,"The system answer correctly states the expected close of ₹ 16 Cr by the end of FY 24-25, matching the reference and context.",False,1.0,3,1,2.3459862000017893,
baseline,sv-06,sensovision,numeric,What were total sales in FY23-24?,Rs 7.2 Cr,10,"FY 23-24 Total Sale was ₹ 7.2 Cr (sensovision, slide 10).",correct,True,"The system accurately states total sales for FY 23-24 as ₹ 7.2 Cr, matching both the reference and context.",False,1.0,3,1,1.9098523999855388,
baseline,sv-07,sensovision,numeric,"How is the funding ask allocated across R&D, market expansion and operations?","R&D and AI development Rs 6.4 Cr, market expansion and sales Rs 6.4 Cr, operations and scaling Rs 3.2 Cr",13,"The funding ask is allocated as follows: R&D & AI Development receives ₹6.4 Cr (40%), Market Expansion & Sales receives ₹6.4 Cr (40%), and Operations & Scaling receives ₹3.2 Cr (20%) (sensovision, slide 13).",correct,True,The system answer accurately matches the reference and is fully supported by the retrieved context.,False,1.0,4,1,2.2700214000069536,
baseline,sv-08,sensovision,factual,"Who is the CEO and founder, and what is their background?","Vikram Jain, B.Tech Electrical from IIT Delhi, 14+ years experience, ex-DRDO scientist and former founder of Gravite Eduventure",14,"Vikram Jain serves as CEO & Founder, with a B.Tech Elec from IIT Delhi, 14+ years of experience, and background as an Ex DRDO Scientist and Ex Founder of Gravite Eduventure (sensovision, slide 14). Prajit Nanu serves as CEO and Co-Founder with a background at TMT, WNS, and CAPITA (Nium_replica, slide 20).",correct,True,"The answer identifies the CEO from the relevant context correctly, though it includes an unnecessary additional CEO from another deck in the context.",False,1.0,3,1,1.8198457999969833,
baseline,sv-09,sensovision,factual,Who is the COO and where did they study?,"Manu George, COO and co-founder, IIM-B, 8+ years experience",14,I cannot find the answer in the provided context.,incorrect,True,The context explicitly states Manu George is the COO and an IIM-B graduate; the system incorrectly declined to answer.,False,1.0,4,1,2.1469914999906905,
baseline,sv-10,sensovision,numeric,How many machines had been installed by FY24 and how many new orders are there?,150 machines installed till FY24 and 31 new orders to date,11,"There were 150 machines installed till FY 24 (deck, slide 11), and there are 31 new orders till date (deck, slide 11).",correct,True,The system accurately reports the installation and order numbers provided in the retrieved context with correct sourcing.,False,1.0,4,1,1.8587874999793712,
